epoch,loss,steps,reward,result,epsilon,win_rate
0,2.455483624,155,-32.24,lose,1,0
1,0.736719296,153,-32.16,lose,0.995,0
2,0.573251295,158,-32.15,lose,0.990025,0
3,0.443668999,142,-32.14,lose,0.985074875,0
4,0.442738978,157,-32.11,lose,0.980149501,0
5,0.368643613,139,-32.23,lose,0.975248753,0
6,0.159607216,63,-11.14,win,0.970372509,0
7,0.34319691,136,-26.66,win,0.965520647,0
8,0.361516782,141,-32.1,lose,0.960693044,0
9,0.362660314,142,-32.14,lose,0.955889578,0
10,0.374940185,144,-32.01,lose,0.95111013,0
11,0.388871973,150,-32.25,lose,0.94635458,0
12,0.374781032,150,-32.25,lose,0.941622807,0
13,0.364084562,151,-32.08,lose,0.936914693,0
14,0.33540907,143,-32.18,lose,0.932230119,0
15,0.334427187,146,-32.09,lose,0.927568969,0
16,0.34008204,152,-32.12,lose,0.922931124,0
17,0.017679207,8,0.09,win,0.918316468,0
18,0.33311058,151,-32.08,lose,0.913724886,0
19,0.334835318,152,-32.12,lose,0.909156262,0
20,0.16966551,77,-11.49,win,0.90461048,0
21,0.330291503,148,-32.17,lose,0.900087428,0
22,0.338082699,150,-32.04,lose,0.895586991,0
23,0.350179685,155,-32.03,lose,0.891109056,0
24,0.323080084,143,-32.18,lose,0.886653511,0
25,0.132089038,59,-10.77,win,0.882220243,0
26,0.031248217,14,0.06,win,0.877809142,0
27,0.345631721,153,-32.16,lose,0.873420096,0
28,0.32806331,143,-32.18,lose,0.869052996,0
29,0.348163771,151,-32.08,lose,0.864707731,0
30,0.030105583,13,-0.32,win,0.860384192,0
31,0.07210599,31,-3.56,win,0.856082271,0.25
32,0.350346125,150,-32.04,lose,0.85180186,0.25
33,0.327676117,139,-32.02,lose,0.84754285,0.25
34,0.366092624,154,-32.2,lose,0.843305136,0.25
35,0.380805942,160,-32.23,lose,0.83908861,0.25
36,0.03551514,15,-0.19,win,0.834893167,0.28125
37,0.36833731,155,-32.03,lose,0.830718701,0.28125
38,0.14024691,59,-10.56,win,0.826565108,0.28125
39,0.332757708,139,-32.02,lose,0.822432282,0.25
40,0.345457813,143,-32.18,lose,0.818320121,0.25
41,0.060451013,25,-3.74,win,0.81422852,0.28125
42,0.365473746,151,-32.08,lose,0.810157378,0.28125
43,0.255009081,106,-21.47,win,0.806106591,0.3125
44,0.303258518,127,-27.14,win,0.802076058,0.34375
45,0.345648623,146,-32.09,lose,0.798065678,0.34375
46,0.035355987,15,-0.82,win,0.794075349,0.375
47,0.365103408,155,-32.03,lose,0.790104973,0.375
48,0.38847495,165,-32.22,lose,0.786154448,0.375
49,0.33589278,142,-32.14,lose,0.782223675,0.34375
50,0.111178883,47,-7.35,win,0.778312557,0.375
51,0.224340604,95,-18.51,win,0.774420994,0.40625
52,0.335266849,142,-32.14,lose,0.770548889,0.375
53,0.331096876,140,-32.06,lose,0.766696145,0.375
54,0.328123476,139,-32.02,lose,0.762862664,0.375
55,0.350695901,150,-32.25,lose,0.759048351,0.375
56,0.002323936,1,1,win,0.755253109,0.40625
57,0.092960997,40,-5.81,win,0.751476844,0.40625
58,0.106844901,46,-7.94,win,0.747719459,0.40625
59,0.356188172,154,-32.2,lose,0.743980862,0.40625
60,0.330712224,143,-32.18,lose,0.740260958,0.40625
61,0.01387644,6,0.38,win,0.736559653,0.4375
62,0.359371352,155,-32.03,lose,0.732876855,0.40625
63,0.011598967,5,0.63,win,0.72921247,0.40625
64,0.03249438,14,-0.15,win,0.725566408,0.4375
65,0.062731042,27,-2.98,win,0.721938576,0.46875
66,0.371608756,160,-32.02,lose,0.718328883,0.46875
67,0.33384339,144,-32.01,lose,0.714737239,0.46875
68,0.104370357,45,-7.06,win,0.711163552,0.46875
69,0.370563551,160,-30.35,win,0.707607735,0.5
70,0.055488939,24,-1.6,win,0.704069696,0.5
71,0.346141198,150,-32.25,lose,0.700549348,0.5
72,0.367706369,160,-32.23,lose,0.697046601,0.5
73,0.036693444,16,-1.28,win,0.693561368,0.5
74,0.359486201,157,-32.11,lose,0.690093561,0.5
75,0.333142985,146,-32.09,lose,0.686643093,0.46875
76,0.111490455,49,-8.69,win,0.683209878,0.46875
77,0.065903308,29,-3.27,win,0.679793828,0.5
78,0.315154911,139,-32.02,lose,0.676394859,0.46875
79,0.002262169,1,1,win,0.673012885,0.5
80,0.335972151,149,-32.21,lose,0.66964782,0.5
81,0.020228463,9,-0.16,win,0.666299581,0.53125
82,0.345151536,154,-32.2,lose,0.662968083,0.5
83,0.31445635,141,-32.1,lose,0.659653243,0.46875
84,0.004448608,2,0.96,win,0.656354977,0.5
85,0.321746353,145,-32.05,lose,0.653073202,0.5
86,0.0309877,14,-1.2,win,0.649807836,0.53125
87,0.317846935,144,-32.22,lose,0.646558797,0.53125
88,0.322676892,147,-32.13,lose,0.643326003,0.5
89,0.303294285,139,-32.23,lose,0.640109373,0.46875
90,0.305826939,141,-32.1,lose,0.636908826,0.4375
91,0.318905741,148,-32.17,lose,0.633724282,0.4375
92,0.306078735,143,-27.15,win,0.63055566,0.46875
93,0.008535038,4,0.67,win,0.627402882,0.46875
94,0.004267135,2,0.96,win,0.624265868,0.5
95,0.211074894,99,-18.67,win,0.621144538,0.5
96,0.296256902,139,-32.02,lose,0.618038816,0.46875
97,0.299547772,141,-32.1,lose,0.614948622,0.4375
98,0.091090946,43,-5.3,win,0.611873878,0.46875
99,0.052910879,25,-2.69,win,0.608814509,0.5
100,0.004231564,2,0.96,win,0.605770436,0.5
101,0.02750184,13,-0.11,win,0.602741584,0.5
102,0.200783974,95,-19.56,win,0.599727876,0.5
103,0.324495437,154,-32.2,lose,0.596729237,0.5
104,0.334022025,159,-30.1,win,0.593745591,0.53125
105,0.186709495,89,-17.22,win,0.590776863,0.53125
106,0.010482368,5,0.84,win,0.587822979,0.5625
107,0.301553058,144,-32.22,lose,0.584883864,0.5625
108,0.071103236,34,-4.1,win,0.581959444,0.5625
109,0.060613652,29,-2.22,win,0.579049647,0.5625
110,0.020896423,10,-0.62,win,0.576154399,0.59375
111,0.302769158,145,-32.05,lose,0.573273627,0.5625
112,0.056331476,27,-2.77,win,0.570407259,0.59375
113,0.068832818,33,-4.27,win,0.567555222,0.59375
114,0.331281599,159,-30.52,win,0.564717446,0.625
115,0.081141847,39,-3.88,win,0.561893859,0.65625
116,0.076963022,37,-4.64,win,0.55908439,0.65625
117,0.297397261,143,-32.18,lose,0.556288968,0.65625
118,0.305299713,147,-32.13,lose,0.553507523,0.625
119,0.201072152,97,-19.85,win,0.550739985,0.65625
120,0.328725904,159,-32.19,lose,0.547986285,0.65625
121,0.113392734,55,-7.88,win,0.545246354,0.6875
122,0.331294971,161,-29.55,win,0.542520122,0.71875
123,0.29790598,145,-25.97,win,0.539807522,0.75
124,0.112947745,55,-9.56,win,0.537108484,0.75
125,0.236179835,115,-20.78,win,0.534422942,0.75
126,0.166361174,81,-13.75,win,0.531750827,0.75
127,0.010268718,5,0.63,win,0.529092073,0.75
128,0.330732787,161,-32.06,lose,0.526446612,0.75
129,0.018481414,9,0.26,win,0.523814379,0.78125
130,0.314091737,153,-28.18,win,0.521195307,0.78125
131,0.002052211,1,1,win,0.518589331,0.78125
132,0.317938391,155,-32.24,lose,0.515996384,0.75
133,0.241749013,118,-19.85,win,0.513416402,0.75
134,0.290835607,142,-32.14,lose,0.51084932,0.71875
135,0.184157648,90,-14.11,win,0.508295074,0.75
136,0.042942508,21,-1.06,win,0.505753598,0.75
137,0.08790355,43,-6.56,win,0.50322483,0.75
138,0.020438814,10,-0.2,win,0.500708706,0.75
139,0.149187782,73,-10.7,win,0.498205163,0.78125
140,0.187967465,92,-13.56,win,0.495714137,0.78125
141,0.26354451,129,-21.55,win,0.493235566,0.78125
142,0.008173466,4,0.88,win,0.490769388,0.78125
143,0.247382118,121,-21.65,win,0.488315541,0.8125
144,0.249640617,122,-20.64,win,0.485873964,0.8125
145,0.038890059,19,-2.03,win,0.483444594,0.8125
146,0.151485279,74,-13.68,win,0.481027371,0.8125
147,0.057329413,28,-2.81,win,0.478622234,0.8125
148,0.100354551,49,-5.54,win,0.476229123,0.8125
149,0.217168425,106,-20,win,0.473847977,0.84375
150,0.073752874,36,-5.23,win,0.471478737,0.875
151,0.200719192,98,-16.32,win,0.469121344,0.875
152,0.13511204,66,-12.1,win,0.466775737,0.90625
153,0.006139674,3,0.92,win,0.464441858,0.90625
154,0.006139533,3,0.92,win,0.462119649,0.90625
155,0.069575103,34,-4.94,win,0.459809051,0.90625
156,0.004092435,2,0.96,win,0.457510006,0.90625
157,0.05114959,25,-3.32,win,0.455222456,0.90625
158,0.128872213,63,-9.04,win,0.452946343,0.90625
159,0.069536672,34,-3.68,win,0.450681612,0.90625
160,0.051125228,25,-2.69,win,0.448428203,0.9375
161,0.079755563,39,-5.14,win,0.446186062,0.9375
162,0.323090618,158,-32.15,lose,0.443955132,0.90625
163,0.008178568,4,0.88,win,0.441735356,0.90625
164,0.259627449,127,-22.1,win,0.43952668,0.9375
165,0.190167383,93,-16.33,win,0.437329046,0.9375
166,0.008179245,4,0.88,win,0.435142401,0.96875
